file_id,noise_type,snr_db_condition,config,snr_before_db,snr_after_db,snr_improvement_db,stoi,pesq,transcript_delta
holdout_00_7976-110124-0013,white,-5,dsp_only,-85.17,-58.13,27.03,0.6668,,
holdout_00_7976-110124-0013,white,-5,dsp_ml,-85.17,-58.26,26.91,0.6639,,
holdout_00_7976-110124-0013,white,-5,agent,-85.17,-58.02,27.15,0.6606,,
holdout_00_7976-110124-0013,white,0,dsp_only,-83.54,-57.85,25.69,0.7353,,
holdout_00_7976-110124-0013,white,0,dsp_ml,-83.54,-57.97,25.56,0.7304,,
holdout_00_7976-110124-0013,white,0,agent,-83.54,-57.76,25.78,0.7277,,
holdout_00_7976-110124-0013,white,5,dsp_only,-2.58,-23.03,-20.45,0.7854,,
holdout_00_7976-110124-0013,white,5,dsp_ml,-2.58,-25.36,-22.78,0.7791,,
holdout_00_7976-110124-0013,white,5,agent,1.22,-22.25,-23.48,0.7808,,
holdout_00_7976-110124-0013,white,10,dsp_only,4.25,-12.49,-16.74,0.8224,,
holdout_00_7976-110124-0013,white,10,dsp_ml,4.25,-13.0,-17.24,0.8143,,
holdout_00_7976-110124-0013,white,10,agent,4.69,-17.8,-22.49,0.8326,,
holdout_00_7976-110124-0013,white,15,dsp_only,7.17,-8.72,-15.89,0.8666,,
holdout_00_7976-110124-0013,white,15,dsp_ml,7.17,-8.92,-16.1,0.8571,,
holdout_00_7976-110124-0013,white,15,agent,7.37,-12.05,-19.42,0.8792,,
holdout_00_7976-110124-0013,brown_hum,-5,dsp_only,5.64,10.78,5.14,0.9148,,
holdout_00_7976-110124-0013,brown_hum,-5,dsp_ml,5.64,14.94,9.3,0.9006,,
holdout_00_7976-110124-0013,brown_hum,-5,agent,5.64,15.28,9.63,0.8958,,
holdout_00_7976-110124-0013,brown_hum,0,dsp_only,7.13,12.75,5.62,0.9174,,
holdout_00_7976-110124-0013,brown_hum,0,dsp_ml,7.13,15.46,8.33,0.9034,,
holdout_00_7976-110124-0013,brown_hum,0,agent,7.13,15.78,8.65,0.8995,,
holdout_00_7976-110124-0013,brown_hum,5,dsp_only,9.54,14.73,5.19,0.9192,,
holdout_00_7976-110124-0013,brown_hum,5,dsp_ml,9.54,17.56,8.01,0.9067,,
holdout_00_7976-110124-0013,brown_hum,5,agent,9.54,18.16,8.61,0.9043,,
holdout_00_7976-110124-0013,brown_hum,10,dsp_only,11.92,15.21,3.29,0.9193,,
holdout_00_7976-110124-0013,brown_hum,10,dsp_ml,11.92,17.78,5.86,0.9066,,
holdout_00_7976-110124-0013,brown_hum,10,agent,11.92,18.36,6.44,0.9042,,
holdout_00_7976-110124-0013,brown_hum,15,dsp_only,13.94,15.94,2.0,0.9189,,
holdout_00_7976-110124-0013,brown_hum,15,dsp_ml,13.94,18.42,4.48,0.9063,,
holdout_00_7976-110124-0013,brown_hum,15,agent,13.94,19.03,5.09,0.904,,
holdout_00_7976-110124-0013,tonal,-5,dsp_only,-85.43,-53.74,31.69,0.7025,,
holdout_00_7976-110124-0013,tonal,-5,dsp_ml,-85.43,-53.74,31.69,0.6929,,
holdout_00_7976-110124-0013,tonal,-5,agent,-85.43,-57.48,27.95,0.6909,,
holdout_00_7976-110124-0013,tonal,0,dsp_only,-83.38,-55.55,27.83,0.7567,,
holdout_00_7976-110124-0013,tonal,0,dsp_ml,-83.38,-55.64,27.74,0.7475,,
holdout_00_7976-110124-0013,tonal,0,agent,-83.38,-57.26,26.12,0.7465,,
holdout_00_7976-110124-0013,tonal,5,dsp_only,-0.03,-8.58,-8.55,0.7916,,
holdout_00_7976-110124-0013,tonal,5,dsp_ml,-0.03,-9.04,-9.01,0.7819,,
holdout_00_7976-110124-0013,tonal,5,agent,3.78,-10.06,-13.83,0.7917,,
holdout_00_7976-110124-0013,tonal,10,dsp_only,5.2,0.99,-4.21,0.8317,,
holdout_00_7976-110124-0013,tonal,10,dsp_ml,5.2,0.81,-4.38,0.8213,,
holdout_00_7976-110124-0013,tonal,10,agent,5.4,3.36,-2.05,0.8475,,
holdout_00_7976-110124-0013,tonal,15,dsp_only,9.53,7.24,-2.29,0.8782,,
holdout_00_7976-110124-0013,tonal,15,dsp_ml,9.53,7.07,-2.46,0.8649,,
holdout_00_7976-110124-0013,tonal,15,agent,9.53,7.24,-2.29,0.8782,,
holdout_00_7976-110124-0013,bursty,-5,dsp_only,-86.72,-59.57,27.14,0.6613,,
holdout_00_7976-110124-0013,bursty,-5,dsp_ml,-86.72,-59.67,27.05,0.6585,,
holdout_00_7976-110124-0013,bursty,-5,agent,-86.72,-59.54,27.18,0.6533,,
holdout_00_7976-110124-0013,bursty,0,dsp_only,-84.75,-59.61,25.13,0.7246,,
