config,snr_db_condition,runs,mean_snr_improvement_db,mean_stoi,mean_pesq
unprocessed,-5,8,0.0,0.7671,
unprocessed,0,8,0.0,0.8473,
unprocessed,5,8,0.0,0.9117,
unprocessed,10,8,0.0,0.9529,
unprocessed,15,8,0.0,0.9761,
unprocessed,all,40,0.0,0.891,
dsp_only,-5,8,22.3725,0.7042,
dsp_only,0,8,20.775,0.7728,
dsp_only,5,8,11.15,0.8194,
dsp_only,10,8,-7.9,0.8478,
dsp_only,15,8,-6.5962,0.8723,
dsp_only,all,40,7.9602,0.8033,
dsp_ml,-5,8,23.6337,0.6991,
dsp_ml,0,8,21.85,0.7673,
dsp_ml,5,8,11.6025,0.8124,
dsp_ml,10,8,-7.925,0.8396,
dsp_ml,15,8,-6.4975,0.8633,
dsp_ml,all,40,8.5327,0.7963,
agent,-5,8,26.24,0.6945,
agent,0,8,24.52,0.7629,
agent,5,8,10.2988,0.833,
agent,10,8,-6.9712,0.8824,
agent,15,8,-1.9525,0.9209,
agent,all,40,10.427,0.8187,
