file_id,noise_type,snr_db_condition,config,snr_before_db,snr_after_db,snr_improvement_db,stoi,transcript_delta
holdout_00_7976-110124-0013,white,-5,unprocessed,3.41,3.41,0.0,0.7336,
holdout_00_7976-110124-0013,white,-5,dsp_only,3.41,40.0,36.59,0.6659,
holdout_00_7976-110124-0013,white,-5,dsp_ml,3.41,40.0,36.59,0.6629,
holdout_00_7976-110124-0013,white,-5,agent,3.41,40.0,36.59,0.6591,
holdout_00_7976-110124-0013,white,0,unprocessed,6.63,6.63,0.0,0.8055,
holdout_00_7976-110124-0013,white,0,dsp_only,6.63,40.0,33.37,0.7349,
holdout_00_7976-110124-0013,white,0,dsp_ml,6.63,40.0,33.37,0.73,
holdout_00_7976-110124-0013,white,0,agent,6.63,40.0,33.37,0.7266,
holdout_00_7976-110124-0013,white,5,unprocessed,10.88,10.88,0.0,0.8673,
holdout_00_7976-110124-0013,white,5,dsp_only,10.88,40.0,29.12,0.7856,
holdout_00_7976-110124-0013,white,5,dsp_ml,10.88,40.0,29.12,0.7795,
holdout_00_7976-110124-0013,white,5,agent,10.88,39.89,29.01,0.7971,
holdout_00_7976-110124-0013,white,10,unprocessed,4.25,4.25,0.0,0.9161,
holdout_00_7976-110124-0013,white,10,dsp_only,4.25,-12.0,-16.25,0.8227,
holdout_00_7976-110124-0013,white,10,dsp_ml,4.25,-12.5,-16.75,0.8148,
holdout_00_7976-110124-0013,white,10,agent,4.25,-11.52,-15.76,0.8507,
holdout_00_7976-110124-0013,white,15,unprocessed,7.17,7.17,0.0,0.9521,
holdout_00_7976-110124-0013,white,15,dsp_only,7.17,-8.17,-15.34,0.866,
holdout_00_7976-110124-0013,white,15,dsp_ml,7.17,-8.38,-15.55,0.8568,
holdout_00_7976-110124-0013,white,15,agent,7.17,6.73,-0.44,0.9435,
holdout_00_7976-110124-0013,brown_hum,-5,unprocessed,5.64,5.64,0.0,0.9927,
holdout_00_7976-110124-0013,brown_hum,-5,dsp_only,5.64,11.0,5.35,0.9145,
holdout_00_7976-110124-0013,brown_hum,-5,dsp_ml,5.64,15.01,9.36,0.9002,
holdout_00_7976-110124-0013,brown_hum,-5,agent,5.64,15.28,9.63,0.8946,
holdout_00_7976-110124-0013,brown_hum,0,unprocessed,7.13,7.13,0.0,0.9964,
holdout_00_7976-110124-0013,brown_hum,0,dsp_only,7.13,12.96,5.83,0.9175,
holdout_00_7976-110124-0013,brown_hum,0,dsp_ml,7.13,15.5,8.37,0.9032,
holdout_00_7976-110124-0013,brown_hum,0,agent,7.13,15.76,8.63,0.8983,
holdout_00_7976-110124-0013,brown_hum,5,unprocessed,9.54,9.54,0.0,0.9985,
holdout_00_7976-110124-0013,brown_hum,5,dsp_only,9.54,15.22,5.68,0.9202,
holdout_00_7976-110124-0013,brown_hum,5,dsp_ml,9.54,17.94,8.4,0.9071,
